Educational Background? ,what's your current occupation?,Domain of Expertise,Experience is important for a potential co-founder to have in order to start contributing to the product's development right away. [Please select],An active presence on Github demonstrates that the potential co-founder is actively contributing to projects. [Please select],Using a specific job title as a criteria in the search process can help identify candidates with the specific skills and knowledge required for the role. [Please select],Having experience building projects with a specific programming language is a good indication that the candidate has the necessary skills to develop projects using that language. [Please select],"Multiple projects in a specific field, such as AI, on GitHub demonstrate a level of expertise in that area. [Please select]","Which of the following UI elements did you see when using the site?
",It is clear to me how the information I enter using the sliders or radar chart influences the recommendations for candidates that the App provides [Please select],the App is filled with the amount of information you need to navigate and use the site effectively [Please select],"The user interface and user experience are designed in a way that makes it easy to understand and use, with clear instructions and guidance provided if needed [Please select]",I immediately see why the candidates recommended by the site are suitable for the position I am trying to fill [Please select],The three-color gauge makes it easy for me to quickly identify the strengths of the candidates at a glance. [Please select],The App is effective at helping you find people with the skills you are looking for? [Please select],Additional Feedback
M.Sc. student,Student,"Deep learning, backend development",Agree,Disagree,Agree,Strongly agree,Agree,Radar Chart,Neutral,Agree,Agree,Neutral,Neutral,Agree,No comment
Bachelor of Arts ,Employed,12 years ,Agree,Neutral,Agree,Agree,Agree,Sliders,Neutral,Agree,Agree,Neutral,Agree,Neutral,None
M. Eng.,Employed,Semiconductor ,Strongly agree,Neutral,Agree,Agree,Neutral,Sliders,Disagree,Neutral,Agree,Agree,Agree,Agree,I liked it
Apprenticeship,Employed,Product design,Agree,Agree,Disagree,Agree,Agree,Radar Chart,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,very nice tool 
bsc,Student,Data Science,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Radar Chart,Neutral,Neutral,Disagree,Strongly agree,Agree,Strongly agree,a little more guidance necessary in UI 
PhD Student,PhD,Computer vision  / robotics,Strongly agree,Disagree,Agree,Strongly agree,Agree,Sliders,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Nice
Biotechnology ,Employed,qPCR,Agree,Strongly disagree,Neutral,Neutral,Neutral,Sliders,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Aha
Physics,Other,Musical science,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sliders,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,
Sciene,Student,Biology,Agree,Strongly agree,Strongly agree,Agree,Neutral,Radar Chart,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,
Car production,Other,Exhaust gas,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Radar Chart,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,
Politics,PhD,International postage and packaging ,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Sliders,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,
